Data,Timestamp
430301,2021-03-12 11:09:05.301168
430301,2021-03-12 11:10:18.111893
4405000000,2021-03-12 11:10:53.427756
4405000000,2021-03-12 11:15:40.884332
4405000000,2021-03-12 11:20:01.423511
