TagNo,Distance,Temperature,RealTemp,RSSI,FREQ,H_RSSI,H_FREQ,ID,Data,Detect
1,120,33,33.7,22,11287565,16,ac3c0d,e20051397201021118904d81,44160116ac3c0d0e3000e20051397201021118904d81,1
1,120,33,33.7,86,5519885,56,543a0d,e20051397201021118904d81,44160156543a0d0e3000e20051397201021118904d81,1
1,120,33,33.7,85,10761485,55,a4350d,e20051397201021118904d81,44160155a4350d0e3000e20051397201021118904d81,1
1,120,33,33.7,69,16529165,45,fc370d,e20051397201021118904d81,44160145fc370d0e3000e20051397201021118904d81,1
1,120,33,33.7,0,0,0,0,,4405000000,0
1,130,33,33.7,0,0,0,0,,4405000000,0
1,130,33,33.7,98,10761485,62,a4350d,e20051397201021118904d81,44160162a4350d0e3000e20051397201021118904d81,1
1,130,33,33.7,0,0,0,0,,4405000000,0
1,130,33,33.7,36,11287565,24,ac3c0d,e20051397201021118904d81,44160124ac3c0d0e3000e20051397201021118904d81,1
1,130,33,33.7,0,0,0,0,,4405000000,0
1,140,33,33.7,0,0,0,0,,4405000000,0
1,140,33,33.7,0,0,0,0,,4405000000,0
1,140,33,33.7,0,0,0,0,,4405000000,0
1,140,33,33.7,0,0,0,0,,4405000000,0
1,140,33,33.7,0,0,0,0,,4405000000,0
1,150,33,33.7,0,0,0,0,,4405000000,0
1,150,33,33.7,0,0,0,0,,4405000000,0
1,150,33,33.7,0,0,0,0,,4405000000,0
1,150,33,33.7,0,0,0,0,,4405000000,0
1,150,33,33.7,0,0,0,0,,4405000000,0
1,160,33,33.7,0,0,0,0,,4405000000,0
1,160,33,33.7,0,0,0,0,,4405000000,0
1,160,33,33.7,0,0,0,0,,4405000000,0
1,160,33,33.7,0,0,0,0,,4405000000,0
1,160,33,33.7,0,0,0,0,,4405000000,0
1,170,33,33.7,0,0,0,0,,4405000000,0
1,170,33,33.7,0,0,0,0,,4405000000,0
1,170,33,33.7,0,0,0,0,,4405000000,0
1,170,33,33.7,0,0,0,0,,4405000000,0
1,170,33,33.7,0,0,0,0,,4405000000,0
1,180,33,33.7,0,0,0,0,,4405000000,0
1,180,33,33.7,80,16529165,50,fc370d,e20051397201021118904d81,44160150fc370d0e3000e20051397201021118904d81,1
1,180,33,33.7,0,0,0,0,,4405000000,0
1,180,33,33.7,0,0,0,0,,4405000000,0
1,180,33,33.7,0,0,0,0,,4405000000,0
1,190,33,33.7,0,0,0,0,,4405000000,0
1,190,33,33.7,0,0,0,0,,4405000000,0
1,190,33,33.7,0,0,0,0,,4405000000,0
1,190,33,33.7,0,0,0,0,,4405000000,0
1,190,33,33.7,0,0,0,0,,4405000000,0
1,200,33,33.7,0,0,0,0,,4405000000,0
1,200,33,33.7,0,0,0,0,,4405000000,0
1,200,33,33.7,0,0,0,0,,4405000000,0
1,200,33,33.7,0,0,0,0,,4405000000,0
1,200,33,33.7,0,0,0,0,,4405000000,0
1,10,33,32.0,235,5519885,eb,543a0d,e20051397201021118904d81,441601eb543a0d0e3000e20051397201021118904d81,1
1,10,33,32.0,237,10761485,ed,a4350d,e20051397201021118904d81,441601eda4350d0e3000e20051397201021118904d81,1
