Data,Timestamp
4405000000,2021-04-16 18:11:19.333535
4405000000,2021-04-16 18:11:22.333645
4405000000,2021-04-16 18:11:25.335471
4405000000,2021-04-16 18:11:28.336519
4405000000,2021-04-16 18:11:31.340359
4405000000,2021-04-16 18:11:34.341597
4405000000,2021-04-16 18:11:37.346736
4405000000,2021-04-16 18:11:40.349360
44160155ac3c0d0e3000e20051397201021218904d7d,2021-04-16 18:11:43.375178
4405000000,2021-04-16 18:11:46.357154
4405000000,2021-04-16 18:11:49.358085
4405000000,2021-04-16 18:11:52.361571
4416014cac3c0d0e3000e20051397201021218904d7d,2021-04-16 18:11:55.386695
44160188543a0d0e3000e20051397201021218904d7d,2021-04-16 18:11:58.388070
4405000000,2021-04-16 18:12:01.367287
4405000000,2021-04-16 18:12:04.367578
4405000000,2021-04-16 18:12:07.375664
