DISTANCE,DETECT,RSSI_DEC,FREQUENCY,ID,CYCLE,N,READ_RATE
130,1,81,10761485,e20051397201021118904d81,3,6,0.333
140,0,0,0,e20051397201021118904d81,5,6,0.000
150,0,0,0,e20051397201021118904d81,5,6,0.000
160,0,0,0,e20051397201021118904d81,5,6,0.000
170,0,0,0,e20051397201021118904d81,5,6,0.000
180,0,0,0,e20051397201021118904d81,5,6,0.000
190,0,0,0,e20051397201021118904d81,5,6,0.000
200,0,0,0,e20051397201021118904d81,5,6,0.000
10,1,222,10761485,e20051397201021118904d81,1,7,1.000
20,1,219,16529165,e20051397201021118904d81,1,7,1.000
30,1,215,11287565,e20051397201021118904d81,1,7,1.000
40,1,197,5519885,e20051397201021118904d81,1,7,1.000
50,1,120,10761485,e20051397201021118904d81,1,7,1.000
60,1,57,16529165,e20051397201021118904d81,1,7,1.000
70,1,24,11287565,e20051397201021118904d81,1,7,1.000
80,1,57,5519885,e20051397201021118904d81,1,7,1.000
90,1,116,10761485,e20051397201021118904d81,1,7,1.000
100,1,101,16529165,e20051397201021118904d81,1,7,1.000
110,1,82,11287565,e20051397201021118904d81,1,7,1.000
120,1,21,5519885,e20051397201021118904d81,1,7,1.000
130,0,0,0,e20051397201021118904d81,5,7,0.000
140,0,0,0,e20051397201021118904d81,5,7,0.000
150,0,0,0,e20051397201021118904d81,5,7,0.000
160,0,0,0,e20051397201021118904d81,5,7,0.000
170,0,0,0,e20051397201021118904d81,5,7,0.000
180,0,0,0,e20051397201021118904d81,5,7,0.000
190,0,0,0,e20051397201021118904d81,5,7,0.000
200,0,0,0,e20051397201021118904d81,5,7,0.000
10,1,190,16529165,e20051397201021118904d81,1,8,1.000
20,1,221,11287565,e20051397201021118904d81,1,8,1.000
30,1,187,5519885,e20051397201021118904d81,1,8,1.000
40,1,170,10761485,e20051397201021118904d81,1,8,1.000
50,1,164,16529165,e20051397201021118904d81,1,8,1.000
60,1,135,11287565,e20051397201021118904d81,1,8,1.000
70,1,119,5519885,e20051397201021118904d81,1,8,1.000
80,1,119,10761485,e20051397201021118904d81,1,8,1.000
90,1,39,16529165,e20051397201021118904d81,2,8,0.500
100,1,37,11287565,e20051397201021118904d81,1,8,1.000
110,1,112,5519885,e20051397201021118904d81,1,8,1.000
120,0,0,0,e20051397201021118904d81,5,8,0.000
130,0,0,0,e20051397201021118904d81,5,8,0.000
