DISTANCE,DETECT,RSSI_DEC,FREQUENCY,ID,N,READ,READ_RATE
240,0,400,82645825,e20051397201021118904d81,4,0,0.00
250,0,480,99174990,e20051397201021118904d81,4,0,0.00
260,0,560,115704155,e20051397201021118904d81,4,0,0.00
270,0,640,132233320,e20051397201021118904d81,4,0,0.00
280,0,720,148762485,e20051397201021118904d81,4,0,0.00
290,0,800,165291650,e20051397201021118904d81,4,0,0.00
300,0,880,181820815,e20051397201021118904d81,4,0,0.00
10,1,221,5519885,e20051397201021118904d81,5,5,1.00
20,1,220,10761485,e20051397201021118904d81,5,5,1.00
30,1,203,16529165,e20051397201021118904d81,5,5,1.00
40,1,183,11287565,e20051397201021118904d81,5,5,1.00
50,1,160,5519885,e20051397201021118904d81,5,4,0.80
60,0,0,0,e20051397201021118904d81,5,0,0.00
70,1,103,16529165,e20051397201021118904d81,5,4,0.80
80,1,40,11287565,e20051397201021118904d81,5,5,1.00
90,1,88,5519885,e20051397201021118904d81,5,4,0.80
100,1,39,10761485,e20051397201021118904d81,5,3,0.60
110,1,37,16529165,e20051397201021118904d81,5,4,0.80
120,0,0,0,e20051397201021118904d81,5,0,0.00
130,0,0,0,e20051397201021118904d81,5,0,0.00
140,0,0,0,e20051397201021118904d81,5,0,0.00
150,1,6,16529165,e20051397201021118904d81,5,2,0.40
160,0,0,0,e20051397201021118904d81,5,0,0.00
170,1,85,5519885,e20051397201021118904d81,5,1,0.20
180,1,37,10761485,e20051397201021118904d81,5,1,0.20
190,0,0,0,e20051397201021118904d81,5,0,0.00
200,0,0,0,e20051397201021118904d81,5,0,0.00
210,0,0,0,e20051397201021118904d81,5,0,0.00
220,0,0,0,e20051397201021118904d81,5,0,0.00
230,0,0,0,e20051397201021118904d81,5,0,0.00
240,0,0,0,e20051397201021118904d81,5,0,0.00
250,0,0,0,e20051397201021118904d81,5,0,0.00
260,0,0,0,e20051397201021118904d81,5,0,0.00
270,0,0,0,e20051397201021118904d81,5,0,0.00
280,0,0,0,e20051397201021118904d81,5,0,0.00
290,0,0,0,e20051397201021118904d81,5,0,0.00
300,0,0,0,e20051397201021118904d81,5,0,0.00
10,1,207,10761485,e20051397201021118904d81,6,5,1.00
20,1,220,16529165,e20051397201021118904d81,6,5,1.00
30,1,216,11287565,e20051397201021118904d81,6,5,1.00
40,1,201,5519885,e20051397201021118904d81,6,5,1.00
50,1,181,10761485,e20051397201021118904d81,6,5,1.00
60,1,165,16529165,e20051397201021118904d81,6,5,1.00
70,1,103,11287565,e20051397201021118904d81,6,5,1.00
80,0,0,0,e20051397201021118904d81,6,0,0.00
90,1,54,10761485,e20051397201021118904d81,6,5,1.00
100,1,112,16529165,e20051397201021118904d81,6,4,0.80
110,1,96,11287565,e20051397201021118904d81,6,4,0.80
120,1,80,5519885,e20051397201021118904d81,6,4,0.80
130,1,81,10761485,e20051397201021118904d81,6,3,0.60
140,0,0,0,e20051397201021118904d81,6,0,0.00
150,0,0,0,e20051397201021118904d81,6,0,0.00
160,0,0,0,e20051397201021118904d81,6,0,0.00
170,0,0,0,e20051397201021118904d81,6,0,0.00
180,0,0,0,e20051397201021118904d81,6,0,0.00
190,0,0,0,e20051397201021118904d81,6,0,0.00
200,0,0,0,e20051397201021118904d81,6,0,0.00
210,0,0,0,e20051397201021118904d81,6,0,0.00
220,0,0,0,e20051397201021118904d81,6,0,0.00
230,0,0,0,e20051397201021118904d81,6,0,0.00
240,0,0,0,e20051397201021118904d81,6,0,0.00
250,0,0,0,e20051397201021118904d81,6,0,0.00
260,0,0,0,e20051397201021118904d81,6,0,0.00
270,0,0,0,e20051397201021118904d81,6,0,0.00
280,0,0,0,e20051397201021118904d81,6,0,0.00
290,0,0,0,e20051397201021118904d81,6,0,0.00
300,0,0,0,e20051397201021118904d81,6,0,0.00
10,1,222,10761485,e20051397201021118904d81,7,5,1.00
20,1,219,16529165,e20051397201021118904d81,7,5,1.00
30,1,215,11287565,e20051397201021118904d81,7,5,1.00
40,1,197,5519885,e20051397201021118904d81,7,5,1.00
50,1,120,10761485,e20051397201021118904d81,7,5,1.00
60,1,57,16529165,e20051397201021118904d81,7,5,1.00
70,1,24,11287565,e20051397201021118904d81,7,5,1.00
80,1,57,5519885,e20051397201021118904d81,7,5,1.00
90,1,116,10761485,e20051397201021118904d81,7,5,1.00
100,1,101,16529165,e20051397201021118904d81,7,5,1.00
110,1,82,11287565,e20051397201021118904d81,7,5,1.00
120,1,21,5519885,e20051397201021118904d81,7,5,1.00
130,0,0,0,e20051397201021118904d81,7,0,0.00
