TagNo,Distance,Temperature,RealTemp,RSSI,FREQ,H_RSSI,H_FREQ,ID,Data,Detect
1,180,0,0,0,0,0,0,,4405000000,0
1,190,0,0,0,0,0,0,,4405000000,0
1,200,0,0,80,16529165,50,fc370d,e20051397201021118904d81,44160150fc370d0e3000e20051397201021118904d81,1
1,10,0,0,221,5519885,dd,543a0d,e20051397201021118904d81,441601dd543a0d0e3000e20051397201021118904d81,1
1,20,0,0,220,10761485,dc,a4350d,e20051397201021118904d81,441601dca4350d0e3000e20051397201021118904d81,1
1,30,0,0,203,16529165,cb,fc370d,e20051397201021118904d81,441601cbfc370d0e3000e20051397201021118904d81,1
1,40,0,0,183,11287565,b7,ac3c0d,e20051397201021118904d81,441601b7ac3c0d0e3000e20051397201021118904d81,1
1,50,0,0,160,5519885,a0,543a0d,e20051397201021118904d81,441601a0543a0d0e3000e20051397201021118904d81,1
1,60,0,0,0,0,0,0,,4405000000,0
1,70,0,0,103,16529165,67,fc370d,e20051397201021118904d81,44160167fc370d0e3000e20051397201021118904d81,1
1,80,0,0,40,11287565,28,ac3c0d,e20051397201021118904d81,44160128ac3c0d0e3000e20051397201021118904d81,1
1,90,0,0,88,5519885,58,543a0d,e20051397201021118904d81,44160158543a0d0e3000e20051397201021118904d81,1
1,100,0,0,39,10761485,27,a4350d,e20051397201021118904d81,44160127a4350d0e3000e20051397201021118904d81,1
1,110,0,0,37,16529165,25,fc370d,e20051397201021118904d81,44160125fc370d0e3000e20051397201021118904d81,1
1,120,0,0,0,0,0,0,,4405000000,0
1,130,0,0,0,0,0,0,,4405000000,0
1,140,0,0,0,0,0,0,,4405000000,0
1,150,0,0,6,16529165,06,fc370d,e20051397201021118904d81,44160106fc370d0e3000e20051397201021118904d81,1
1,160,0,0,0,0,0,0,,4405000000,0
1,170,0,0,85,5519885,55,543a0d,e20051397201021118904d81,44160155543a0d0e3000e20051397201021118904d81,1
1,180,0,0,37,10761485,25,a4350d,e20051397201021118904d81,44160125a4350d0e3000e20051397201021118904d81,1
1,190,0,0,0,0,0,0,,4405000000,0
1,200,0,0,0,0,0,0,,4405000000,0
1,10,0,0,207,10761485,cf,a4350d,e20051397201021118904d81,441601cfa4350d0e3000e20051397201021118904d81,1
1,20,0,0,220,16529165,dc,fc370d,e20051397201021118904d81,441601dcfc370d0e3000e20051397201021118904d81,1
1,30,0,0,216,11287565,d8,ac3c0d,e20051397201021118904d81,441601d8ac3c0d0e3000e20051397201021118904d81,1
1,40,0,0,201,5519885,c9,543a0d,e20051397201021118904d81,441601c9543a0d0e3000e20051397201021118904d81,1
1,50,0,0,181,10761485,b5,a4350d,e20051397201021118904d81,441601b5a4350d0e3000e20051397201021118904d81,1
