DISTANCE,DETECT,RSSI,FREQUENCY,ID
180,0,0,0,e20051397201021118904d81
190,0,0,0,e20051397201021118904d81
200,0,0,0,e20051397201021118904d81
10,1,237,5519885,e20051397201021118904d81
20,1,236,10761485,e20051397201021118904d81
30,1,220,16529165,e20051397201021118904d81
40,1,183,11287565,e20051397201021118904d81
50,1,152,5519885,e20051397201021118904d81
60,1,167,10761485,e20051397201021118904d81
70,1,10,16529165,e20051397201021118904d81
80,1,105,11287565,e20051397201021118904d81
90,1,73,5519885,e20051397201021118904d81
100,1,103,10761485,e20051397201021118904d81
110,1,102,16529165,e20051397201021118904d81
120,1,97,11287565,e20051397201021118904d81
130,0,0,0,e20051397201021118904d81
140,0,0,0,e20051397201021118904d81
150,1,54,16529165,e20051397201021118904d81
160,1,53,11287565,e20051397201021118904d81
170,0,0,0,e20051397201021118904d81
180,0,0,0,e20051397201021118904d81
190,0,0,0,e20051397201021118904d81
200,0,0,0,e20051397201021118904d81
10,1,237,16529165,e20051397201021118904d81
20,1,220,11287565,e20051397201021118904d81
30,1,198,5519885,e20051397201021118904d81
40,1,177,10761485,e20051397201021118904d81
50,1,136,16529165,e20051397201021118904d81
60,1,135,11287565,e20051397201021118904d81
70,1,88,5519885,e20051397201021118904d81
80,1,23,10761485,e20051397201021118904d81
90,1,70,16529165,e20051397201021118904d81
100,1,96,11287565,e20051397201021118904d81
110,1,96,5519885,e20051397201021118904d81
120,1,83,10761485,e20051397201021118904d81
130,0,0,0,e20051397201021118904d81
140,1,54,11287565,e20051397201021118904d81
150,0,0,0,e20051397201021118904d81
160,0,0,0,e20051397201021118904d81
170,0,0,0,e20051397201021118904d81
180,0,0,0,e20051397201021118904d81
190,0,0,0,e20051397201021118904d81
200,0,0,0,e20051397201021118904d81
10,1,236,5519885,e20051397201021018904d85
20,1,234,10761485,e20051397201021018904d85
30,1,218,16529165,e20051397201021018904d85
40,1,184,11287565,e20051397201021018904d85
50,0,0,0,e20051397201021018904d85
60,1,105,10761485,e20051397201021018904d85
70,1,120,16529165,e20051397201021018904d85
80,1,72,11287565,e20051397201021018904d85
90,1,102,5519885,e20051397201021018904d85
100,0,0,0,e20051397201021018904d85
110,1,83,16529165,e20051397201021018904d85
120,0,0,0,e20051397201021018904d85
130,0,0,0,e20051397201021018904d85
140,1,5,10761485,e20051397201021018904d85
150,0,0,0,e20051397201021018904d85
160,1,64,11287565,e20051397201021018904d85
170,0,0,0,e20051397201021018904d85
180,0,0,0,e20051397201021018904d85
190,0,0,0,e20051397201021018904d85
200,0,0,0,e20051397201021018904d85
10,1,191,10761485,e20051397201021018904d85
20,1,222,16529165,e20051397201021018904d85
30,1,203,11287565,e20051397201021018904d85
40,1,201,5519885,e20051397201021018904d85
50,1,176,10761485,e20051397201021018904d85
60,1,148,16529165,e20051397201021018904d85
70,1,89,11287565,e20051397201021018904d85
80,0,0,0,e20051397201021018904d85
90,0,0,0,e20051397201021018904d85
100,1,119,16529165,e20051397201021018904d85
110,0,0,0,e20051397201021018904d85
120,1,80,5519885,e20051397201021018904d85
130,0,0,0,e20051397201021018904d85
140,1,21,16529165,e20051397201021018904d85
150,1,5,11287565,e20051397201021018904d85
160,0,0,0,e20051397201021018904d85
170,0,0,0,e20051397201021018904d85
180,0,0,0,e20051397201021018904d85
190,0,0,0,e20051397201021018904d85
200,0,0,0,e20051397201021018904d85
10,1,253,16529165,e20051397201021018904d85
20,1,235,11287565,e20051397201021018904d85
30,1,218,5519885,e20051397201021018904d85
40,1,193,10761485,e20051397201021018904d85
50,1,167,16529165,e20051397201021018904d85
60,1,151,11287565,e20051397201021018904d85
70,1,57,5519885,e20051397201021018904d85
80,1,23,10761485,e20051397201021018904d85
90,0,0,0,e20051397201021018904d85
100,1,113,11287565,e20051397201021018904d85
110,1,112,5519885,e20051397201021018904d85
120,0,0,0,e20051397201021018904d85
130,0,0,0,e20051397201021018904d85
140,1,21,11287565,e20051397201021018904d85
150,0,0,0,e20051397201021018904d85
160,0,0,0,e20051397201021018904d85
170,0,0,0,e20051397201021018904d85
180,0,0,0,e20051397201021018904d85
190,0,0,0,e20051397201021018904d85
200,0,0,0,e20051397201021018904d85
10,1,237,11287565,e20051397201021018904d85
20,1,205,5519885,e20051397201021018904d85
30,1,198,10761485,e20051397201021018904d85
40,1,167,16529165,e20051397201021018904d85
